id,product_grocery,price_grocery,expiration_date,quantity
1,"Pasta - Lasagna Noodle, Frozen",$5.44,7/12/2023,29
2,Clams - Bay,$5.11,1/11/2023,4
3,Eel - Smoked,$3.96,12/25/2022,42
4,"Sole - Dover, Whole, Fresh",$8.02,6/27/2023,14
5,Ham - Cooked,$3.48,10/1/2022,92
6,"Quail - Whole, Boneless",$5.84,5/6/2023,70
7,Huck White Towels,$2.41,2/7/2023,5
8,Bread Crumbs - Panko,$0.34,8/19/2022,89
9,Bouillion - Fish,$5.09,11/10/2022,15
10,Bread - 10 Grain Parisian,$7.02,10/28/2022,48
11,"Basil - Primerba, Paste",$9.72,12/2/2022,53
12,Lettuce - Sea / Sea Asparagus,$2.33,5/22/2023,48
13,"Cherries - Bing, Canned",$7.36,5/15/2023,88
14,Raspberries - Fresh,$7.51,3/6/2023,53
15,Nantucket Apple Juice,$8.05,9/22/2022,1
16,"Lentils - Green, Dry",$0.58,12/8/2022,38
17,Syrup - Monin - Blue Curacao,$6.18,1/6/2023,1
18,Artichokes - Jerusalem,$0.25,9/28/2022,39
19,Wine - Shiraz Wolf Blass Premium,$4.62,4/11/2023,17
20,"Juice - Apple, 1.36l",$7.18,5/8/2023,7
21,Magnotta - Bel Paese White,$8.07,6/2/2023,100
22,Ecolab - Lime - A - Way 4/4 L,$2.44,8/5/2023,33
23,Salad Dressing,$1.26,6/29/2023,46
24,Pork - Ground,$5.21,10/15/2022,99
25,"Turkey - Breast, Bone - In",$4.83,6/28/2023,4
26,Wine - Port Late Bottled Vintage,$3.94,1/10/2023,40
27,Wine - Chianti Classica Docg,$5.37,11/30/2022,40
28,Beef - Tender Tips,$8.71,12/22/2022,26
29,"Lobster - Tail, 3 - 4 Oz",$8.82,9/7/2022,52
30,"Beef - Rouladin, Sliced",$6.88,7/29/2023,42
31,Kohlrabi,$6.61,1/10/2023,81
32,Fruit Salad Deluxe,$9.04,5/31/2023,61
33,Filo Dough,$8.62,11/11/2022,28
34,Tahini Paste,$9.94,6/14/2023,25
35,Garam Marsala,$8.35,7/16/2023,74
36,Tea - Decaf Lipton,$2.07,6/9/2023,95
37,Potatoes - Yukon Gold 5 Oz,$4.39,2/2/2023,42
38,Vinegar - Red Wine,$4.00,12/7/2022,69
39,Tuna - Yellowfin,$3.05,11/11/2022,73
40,Tomatoes - Heirloom,$1.82,5/11/2023,39
41,Gatorade - Lemon Lime,$3.46,3/22/2023,80
42,Turnip - White,$3.47,10/6/2022,26
43,Wine - Dubouef Macon - Villages,$3.44,1/29/2023,83
44,"Oil - Food, Lacquer Spray",$1.21,9/25/2022,76
45,Beer - Rickards Red,$3.30,3/20/2023,34
46,Soup - Base Broth Chix,$7.72,6/29/2023,98
47,"Appetizer - Spring Roll, Veg",$3.61,12/25/2022,53
48,Hand Towel,$4.73,9/16/2022,65
49,Tomatoes - Roma,$7.24,6/24/2023,85
50,Potatoes - Mini Red,$3.57,10/26/2022,43
51,Bagel - Plain,$9.04,11/29/2022,67
52,Appetiser - Bought,$0.38,2/5/2023,57
53,Pepper - Scotch Bonnet,$8.89,12/17/2022,79
54,"Chocolate - Pistoles, Lactee, Milk",$0.30,5/20/2023,23
55,Everfresh Products,$5.89,3/15/2023,54
56,"Veal - Shank, Pieces",$9.17,11/16/2022,79
57,Sausage - Meat,$4.42,6/3/2023,31
58,Peas - Frozen,$1.40,6/16/2023,80
59,Anchovy In Oil,$1.34,9/6/2022,4
60,"Mushroom - Porcini, Dry",$7.54,4/27/2023,20
61,Gooseberry,$9.40,2/17/2023,42
62,Sobe - Cranberry Grapefruit,$4.69,2/23/2023,34
63,Ecolab - Balanced Fusion,$5.67,4/29/2023,5
64,Ice Cream - Turtles Stick Bar,$6.05,10/8/2022,36
65,Ginger - Crystalized,$5.41,4/5/2023,32
